,date,frequency,date_time,date_int
228,2014-01-11 22:00:00,0,2014-01-11 22:00:00,20140111220000
229,2014-01-11 23:00:00,0,2014-01-11 23:00:00,20140111230000
230,2014-01-12 00:00:00,0,2014-01-12 00:00:00,20140112000000
231,2014-01-12 01:00:00,0,2014-01-12 01:00:00,20140112010000
232,2014-01-12 02:00:00,0,2014-01-12 02:00:00,20140112020000
233,2014-01-12 03:00:00,0,2014-01-12 03:00:00,20140112030000
234,2014-01-12 04:00:00,0,2014-01-12 04:00:00,20140112040000
235,2014-01-12 05:00:00,0,2014-01-12 05:00:00,20140112050000
236,2014-01-12 06:00:00,0,2014-01-12 06:00:00,20140112060000
237,2014-01-12 07:00:00,0,2014-01-12 07:00:00,20140112070000
238,2014-01-12 08:00:00,0,2014-01-12 08:00:00,20140112080000
239,2014-01-12 09:00:00,0,2014-01-12 09:00:00,20140112090000
240,2014-01-12 10:00:00,0,2014-01-12 10:00:00,20140112100000
241,2014-01-12 11:00:00,10,2014-01-12 11:00:00,20140112110000
242,2014-01-12 12:00:00,8,2014-01-12 12:00:00,20140112120000
243,2014-01-12 13:00:00,0,2014-01-12 13:00:00,20140112130000
244,2014-01-12 14:00:00,7,2014-01-12 14:00:00,20140112140000
245,2014-01-12 15:00:00,0,2014-01-12 15:00:00,20140112150000
246,2014-01-12 16:00:00,6,2014-01-12 16:00:00,20140112160000
247,2014-01-12 17:00:00,0,2014-01-12 17:00:00,20140112170000
248,2014-01-12 18:00:00,0,2014-01-12 18:00:00,20140112180000
249,2014-01-12 19:00:00,0,2014-01-12 19:00:00,20140112190000
250,2014-01-12 20:00:00,0,2014-01-12 20:00:00,20140112200000
251,2014-01-12 21:00:00,0,2014-01-12 21:00:00,20140112210000
252,2014-01-12 22:00:00,0,2014-01-12 22:00:00,20140112220000
253,2014-01-12 23:00:00,0,2014-01-12 23:00:00,20140112230000
254,2014-01-13 00:00:00,0,2014-01-13 00:00:00,20140113000000
255,2014-01-13 01:00:00,0,2014-01-13 01:00:00,20140113010000
256,2014-01-13 02:00:00,0,2014-01-13 02:00:00,20140113020000
257,2014-01-13 03:00:00,0,2014-01-13 03:00:00,20140113030000
258,2014-01-13 04:00:00,0,2014-01-13 04:00:00,20140113040000
259,2014-01-13 05:00:00,0,2014-01-13 05:00:00,20140113050000
260,2014-01-13 06:00:00,0,2014-01-13 06:00:00,20140113060000
261,2014-01-13 07:00:00,0,2014-01-13 07:00:00,20140113070000
262,2014-01-13 08:00:00,0,2014-01-13 08:00:00,20140113080000
263,2014-01-13 09:00:00,0,2014-01-13 09:00:00,20140113090000
264,2014-01-13 10:00:00,0,2014-01-13 10:00:00,20140113100000
265,2014-01-13 11:00:00,0,2014-01-13 11:00:00,20140113110000
266,2014-01-13 12:00:00,0,2014-01-13 12:00:00,20140113120000
267,2014-01-13 13:00:00,0,2014-01-13 13:00:00,20140113130000
268,2014-01-13 14:00:00,0,2014-01-13 14:00:00,20140113140000
269,2014-01-13 15:00:00,0,2014-01-13 15:00:00,20140113150000
270,2014-01-13 16:00:00,5,2014-01-13 16:00:00,20140113160000
271,2014-01-13 17:00:00,0,2014-01-13 17:00:00,20140113170000
272,2014-01-13 18:00:00,0,2014-01-13 18:00:00,20140113180000
273,2014-01-13 19:00:00,0,2014-01-13 19:00:00,20140113190000
274,2014-01-13 20:00:00,0,2014-01-13 20:00:00,20140113200000
